"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Important Questions Section","User interacts with important questions","0","0","8","0","0"
"","Navigation","Navigation to Yandex from order screen","0","0","1","0","0"
"","","","0","0","1","0","0"
"","Order Scooter","Order Scooter from the End of Home Screen","0","0","1","0","0"
"","Order Scooter","Order Scooter from the Top of Home Screen","0","0","1","0","0"
